etz_date,trade_price
2020-01-02,-0.033038104601512686
2020-01-03,0.049156653703594344
2020-01-04,0.01822073117401324
2020-01-05,0.011218402581437914
2020-01-06,0.03692982303754633
2020-01-07,0.05871568639149949
2020-01-08,-0.05126223573691746
2020-01-09,-0.0012385141668929123
2020-01-10,0.014149852456986522
2020-01-11,-0.0073574826085280876
2020-01-12,0.0042984407602197905
2020-01-13,0.033145547021955934
2020-01-14,0.07037504171398368
2020-01-15,-0.04405003513638661
2020-01-16,0.04515439748054462
2020-01-17,-0.01221558776812337
2020-01-18,0.04372281101383102
2020-01-19,-0.06975699070310881
2020-01-20,2.2950530365051236e-12
2020-01-21,0.023347859993590347
2020-01-22,0.035656014604422026
2020-01-23,-0.06417778608879665
2020-01-24,0.0255340267778692
2020-01-25,0.009575939379756093
2020-01-26,-0.009054793293378438
2020-01-27,0.05244284882347827
2020-01-28,0.0060125173606877524
2020-01-29,-0.0066960977199226335
2020-01-30,0.03076842702668081
2020-01-31,-0.007265002657065978
2020-02-01,0.012422311665245545
2020-02-02,0.006153865574377804
2020-02-03,-0.017119276252731908
2020-02-04,-0.022084226200965063
2020-02-05,0.057846228806198496
2020-02-06,0.017991271475429116
2020-02-07,0.013033763414348698
2020-02-08,0.021368011874471904
2020-02-09,9.523809119116322e-08
2020-02-10,-0.0427918317852054
2020-02-11,0.037061061834299025
2020-02-12,0.0315857253734837
2020-02-13,-0.03927807099280933
2020-02-14,0.015325875414534451
2020-02-15,-0.05069281925084468
2020-02-16,0.03430431380498966
2020-02-17,-0.014501886509791007
2020-02-18,0.03245319534774005
2020-02-19,-0.05225582264391804
2020-02-20,0.0
2020-02-21,-0.03510907352268866
2020-02-22,-0.0005180004904161706
2020-02-23,0.04537926642626644
2020-02-24,-0.010452537598609979
2020-02-25,-0.026670851613767255
2020-02-26,-0.0669393727819223
2020-02-27,-0.011522291771020932
2020-02-28,-0.002030895913378572
2020-02-29,-0.04645360311765323
2020-03-01,0.03865417624180445
2020-03-02,-0.017639663173035558
2020-03-03,0.02002216085433517
2020-03-04,0.0002679672294245705
2020-03-05,-0.031204131526282097
2020-03-06,0.06971634003049765
2020-03-07,-0.04203330552950568
2020-03-08,-0.07583807639029239
2020-03-09,-0.006179173047449638
2020-03-10,-0.012169965621959378
2020-03-11,-0.03902320179573593
2020-03-12,-0.33007426214155267
2020-03-13,0.04367489255392876
2020-03-14,-0.14873704002360633
2020-03-15,0.011536089458854093
2020-03-16,0.03846646950702315
2020-03-17,0.03704071935923636
2020-03-18,-0.06284262602300217
2020-03-19,0.19864437209218977
2020-03-20,-0.0027190906350540445
2020-03-21,0.03196963602573
2020-03-22,-0.08000080587514269
2020-03-23,0.08000080588130842
2020-03-24,0.0300688830815794
2020-03-25,0.0022386232527704664
2020-03-26,0.006693963262799585
2020-03-27,-0.09642273322892869
2020-03-28,0.02801181669664743
2020-03-29,-0.003020751884603712
2020-03-30,0.04696867734727839
2020-03-31,-0.012536783228627613
2020-04-01,0.020908962801886588
2020-04-02,0.1591026963977047
2020-04-03,-0.1499058681668224
2020-04-04,0.0016915936221124639
2020-04-05,0.041882242827560034
2020-04-06,0.04102247752365429
2020-04-07,0.03563188391907701
2020-04-08,-0.02003481578783628
2020-04-09,-0.028019862476812207
2020-04-10,-0.025799690457040114
2020-04-11,-0.0023713293682376957
2020-04-12,0.009850185796238975
2020-04-13,-0.0002845103007746985
2020-04-14,-0.009567532640311072
2020-04-15,-0.04459795536709166
2020-04-16,0.05878444949626882
2020-04-17,-0.014184494125748515
2020-04-18,0.01840122562614077
2020-04-19,0.008796678155624349
2020-04-20,-0.02018001544027115
2020-04-21,-0.021551708782839185
2020-04-22,0.03683374705629028
2020-04-23,0.04732481126638355
2020-04-24,0.005184253805570194
2020-04-25,0.006820895308687014
2020-04-26,0.02401630213940109
2020-04-27,0.0006424670841003177
2020-04-28,0.005124931151817336
2020-04-29,0.15918034665250147
2020-04-30,-0.04705011996901476
2020-05-01,0.018237316401862103
2020-05-02,0.03140350298236605
2020-05-03,-7.608136343151273e-12
2020-05-04,-0.027882688405661327
2020-05-05,0.015428099227005276
2020-05-06,0.02873604303891142
2020-05-07,0.06710875163512675
2020-05-08,-0.020102602305179573
2020-05-09,-0.08748250836163862
2020-05-10,-0.007376987301757509
2020-05-11,-0.01208878776732547
2020-05-12,0.013453149309256673
2020-05-13,0.05817244643672659
2020-05-14,0.036885896402399254
2020-05-15,-0.006688565848310901
2020-05-16,-0.00011282803481016401
2020-05-17,-0.004602731264490956
2020-05-18,-0.010257673027096459
2020-05-19,-1.041124466638621e-07
2020-05-20,0.032873683558095834
2020-05-21,-0.09793290944113764
2020-05-22,0.01105005719111496
2020-05-23,0.010929286727879628
2020-05-24,-0.04445208866109773
2020-05-25,0.033422796936182664
2020-05-26,-0.02357384385768313
2020-05-27,0.04531361198439576
2020-05-28,0.02085105771946516
2020-05-29,-0.012185581246114907
2020-05-30,0.05393206456559163
2020-05-31,-0.02659092643120964
2020-06-01,0.05617040266068685
2020-06-02,-0.09573951681766601
2020-06-03,0.04783372859511914
2020-06-04,0.018249236548545156
2020-06-05,-0.024958836259758144
2020-06-06,-0.01093465667372051
2020-06-07,0.03589318987282297
2020-06-08,-0.020308563570239357
2020-06-09,0.010256194044703904
2020-06-10,0.005089375630987547
2020-06-11,-0.04676251059023073
2020-06-12,-0.014157091274606515
2020-06-13,0.01946278236532173
2020-06-14,-0.02681115162948622
2020-06-15,0.026610919923058418
2020-06-16,0.05667058400465308
2020-06-17,-0.06827874074121887
