T5YIE,T5YIFR,T10YIE,T10Y2Y,SP500,DJIA,etz_time
,,,,,,2021-08-22 23:59:00
2.43,2.11,2.27,1.02,4479.53,35335.71,2021-08-23 23:59:00
2.45,2.15,2.3,1.05,4486.23,35366.26,2021-08-24 23:59:00
2.51,2.19,2.35,1.12,4496.19,35405.5,2021-08-25 23:59:00
2.5,2.16,2.33,1.09,4470.0,35213.12,2021-08-26 23:59:00
2.53,2.25,2.39,1.09,4509.37,35455.8,2021-08-27 23:59:00
,,,,,,2021-08-28 23:59:00
,,,,,,2021-08-29 23:59:00
2.51,2.23,2.37,1.09,4528.79,35399.84,2021-08-30 23:59:00
2.48,2.18,2.33,1.1,4522.68,35360.73,2021-08-31 23:59:00
2.48,2.2,2.34,1.11,4524.09,35312.53,2021-09-01 23:59:00
2.47,2.17,2.32,1.09,4536.95,35443.82,2021-09-02 23:59:00
2.48,2.2,2.34,1.12,4535.43,35369.09,2021-09-03 23:59:00
,,,,,,2021-09-04 23:59:00
,,,,,,2021-09-05 23:59:00
,,,,,,2021-09-06 23:59:00
2.51,2.21,2.36,1.16,4520.03,35100.0,2021-09-07 23:59:00
2.53,2.23,2.38,1.13,4514.07,35031.07,2021-09-08 23:59:00
2.55,2.21,2.38,1.07,4493.28,34879.38,2021-09-09 23:59:00
2.55,2.25,2.4,1.12,4458.58,34607.72,2021-09-10 23:59:00
,,,,,,2021-09-11 23:59:00
,,,,,,2021-09-12 23:59:00
2.53,2.21,2.37,1.12,4468.73,34869.63,2021-09-13 23:59:00
2.49,2.17,2.33,1.07,4443.05,34577.57,2021-09-14 23:59:00
2.51,2.19,2.35,1.1,4480.7,34814.39,2021-09-15 23:59:00
2.53,2.17,2.35,1.11,4473.75,34751.32,2021-09-16 23:59:00
2.51,2.15,2.33,1.14,4432.99,34584.88,2021-09-17 23:59:00
,,,,,,2021-09-18 23:59:00
,,,,,,2021-09-19 23:59:00
2.43,2.15,2.29,1.08,4357.73,33970.47,2021-09-20 23:59:00
2.44,2.14,2.29,1.11,4354.19,33919.84,2021-09-21 23:59:00
2.41,2.15,2.28,1.07,4395.64,34258.32,2021-09-22 23:59:00
2.48,2.14,2.31,1.14,4448.98,34764.82,2021-09-23 23:59:00
2.47,2.21,2.34,1.18,4455.48,34798.0,2021-09-24 23:59:00
,,,,,,2021-09-25 23:59:00
,,,,,,2021-09-26 23:59:00
2.5,2.2,2.35,1.17,4443.11,34869.37,2021-09-27 23:59:00
2.53,2.23,2.38,1.23,4352.63,34299.99,2021-09-28 23:59:00
2.52,2.22,2.37,1.25,4359.46,34390.72,2021-09-29 23:59:00
2.51,2.23,2.37,1.24,4307.54,33843.92,2021-09-30 23:59:00
2.51,2.25,2.38,1.21,4357.04,34326.46,2021-10-01 23:59:00
,,,,,,2021-10-02 23:59:00
,,,,,,2021-10-03 23:59:00
2.53,2.23,2.38,1.22,4300.46,34002.92,2021-10-04 23:59:00
2.59,2.31,2.45,1.26,4345.72,34314.67,2021-10-05 23:59:00
2.57,2.29,2.43,1.23,4363.55,34416.99,2021-10-06 23:59:00
2.61,2.31,2.46,1.26,4399.76,34754.94,2021-10-07 23:59:00
2.64,2.36,2.5,1.29,4391.34,34746.25,2021-10-08 23:59:00
,,,,,,2021-10-09 23:59:00
,,,,,,2021-10-10 23:59:00
,,,,4361.19,34496.06,2021-10-11 23:59:00
2.64,2.34,2.49,1.24,4350.65,34378.34,2021-10-12 23:59:00
2.68,2.36,2.52,1.19,4363.8,34377.81,2021-10-13 23:59:00
2.69,2.35,2.52,1.16,4438.26,34912.56,2021-10-14 23:59:00
2.71,2.41,2.56,1.18,4471.37,35294.76,2021-10-15 23:59:00
,,,,,,2021-10-16 23:59:00
,,,,,,2021-10-17 23:59:00
2.71,2.37,2.54,1.15,4486.46,35258.61,2021-10-18 23:59:00
2.71,2.37,2.54,1.24,4519.63,35457.31,2021-10-19 23:59:00
2.77,2.37,2.57,1.25,4536.19,35609.34,2021-10-20 23:59:00
2.94,2.34,2.64,1.23,4549.78,35603.08,2021-10-21 23:59:00
2.91,2.37,2.64,1.18,4544.9,35677.02,2021-10-22 23:59:00
,,,,,,2021-10-23 23:59:00
,,,,,,2021-10-24 23:59:00
2.95,2.37,2.66,1.17,4566.48,35741.15,2021-10-25 23:59:00
2.99,2.39,2.69,1.16,4574.79,35756.88,2021-10-26 23:59:00
2.96,2.34,2.65,1.04,4551.68,35490.69,2021-10-27 23:59:00
2.9,2.24,2.57,1.07,4596.42,35730.48,2021-10-28 23:59:00
2.89,2.13,2.51,1.07,4605.38,35819.56,2021-10-29 23:59:00
,,,,,,2021-10-30 23:59:00
,,,,,,2021-10-31 23:59:00
2.86,2.14,2.5,1.08,4613.67,35913.84,2021-11-01 23:59:00
2.84,2.18,2.51,1.1,4630.65,36052.63,2021-11-02 23:59:00
2.86,2.2,2.53,1.13,4660.57,36157.58,2021-11-03 23:59:00
2.88,2.24,2.56,1.12,4680.06,36124.23,2021-11-04 23:59:00
2.87,2.21,2.54,1.06,4697.53,36327.95,2021-11-05 23:59:00
,,,,,,2021-11-06 23:59:00
,,,,,,2021-11-07 23:59:00
2.94,2.3,2.62,1.06,4701.7,36432.22,2021-11-08 23:59:00
2.96,2.3,2.63,1.05,4685.25,36319.98,2021-11-09 23:59:00
3.08,2.32,2.7,1.05,4646.71,36079.94,2021-11-10 23:59:00
,,,,4649.27,35921.23,2021-11-11 23:59:00
3.11,2.35,2.73,1.05,4682.85,36100.31,2021-11-12 23:59:00
,,,,,,2021-11-13 23:59:00
,,,,,,2021-11-14 23:59:00
3.17,2.35,2.76,1.1,4682.8,36087.45,2021-11-15 23:59:00
3.17,2.29,2.73,1.09,4700.9,36142.22,2021-11-16 23:59:00
3.14,2.26,2.7,1.08,4688.67,35931.05,2021-11-17 23:59:00
3.11,2.35,2.73,1.07,4704.54,35870.95,2021-11-18 23:59:00
3.02,2.28,2.65,1.02,4697.96,35601.98,2021-11-19 23:59:00
,,,,,,2021-11-20 23:59:00
,,,,,,2021-11-21 23:59:00
2.98,2.24,2.61,1.0,4682.94,35619.25,2021-11-22 23:59:00
3.0,2.24,2.62,1.07,4690.7,35813.8,2021-11-23 23:59:00
3.03,2.19,2.61,1.0,4701.46,35804.38,2021-11-24 23:59:00
,,,,,,2021-11-25 23:59:00
2.92,2.18,2.55,0.98,4594.62,34899.34,2021-11-26 23:59:00
,,,,,,2021-11-27 23:59:00
,,,,,,2021-11-28 23:59:00
2.91,2.17,2.54,1.01,4655.27,35135.94,2021-11-29 23:59:00
2.8,2.2,2.5,0.91,4567.0,34483.72,2021-11-30 23:59:00
2.7,2.18,2.44,0.87,4513.04,34022.04,2021-12-01 23:59:00
2.73,2.21,2.47,0.81,4577.1,34639.79,2021-12-02 23:59:00
2.72,2.14,2.43,0.75,4538.43,34580.08,2021-12-03 23:59:00
,,,,,,2021-12-04 23:59:00
,,,,,,2021-12-05 23:59:00
2.79,2.09,2.44,0.78,4591.67,35227.03,2021-12-06 23:59:00
2.84,2.1,2.47,0.78,4686.75,35719.43,2021-12-07 23:59:00
2.88,2.16,2.52,0.84,4701.21,35754.75,2021-12-08 23:59:00
2.8,2.14,2.47,0.79,4667.45,35754.69,2021-12-09 23:59:00
2.76,2.12,2.44,0.81,4712.02,35970.99,2021-12-10 23:59:00
,,,,,,2021-12-11 23:59:00
,,,,,,2021-12-12 23:59:00
2.73,2.07,2.4,0.76,4668.97,35650.95,2021-12-13 23:59:00
2.66,2.08,2.37,0.77,4634.09,35544.18,2021-12-14 23:59:00
2.67,2.11,2.39,0.78,4709.85,35927.43,2021-12-15 23:59:00
2.7,2.14,2.42,0.8,4668.67,35897.64,2021-12-16 23:59:00
2.65,2.11,2.38,0.75,4620.64,35365.44,2021-12-17 23:59:00
,,,,,,2021-12-18 23:59:00
,,,,,,2021-12-19 23:59:00
2.65,2.13,2.39,0.78,4568.02,34932.16,2021-12-20 23:59:00
2.69,2.19,2.44,0.78,4649.23,35492.7,2021-12-21 23:59:00
2.7,2.24,2.47,0.78,4696.56,35753.89,2021-12-22 23:59:00
2.72,2.22,2.47,0.79,4725.79,35950.56,2021-12-23 23:59:00
,,,,,,2021-12-24 23:59:00
,,,,,,2021-12-25 23:59:00
,,,,,,2021-12-26 23:59:00
2.75,2.25,2.5,0.72,4791.19,36302.38,2021-12-27 23:59:00
2.78,2.22,2.5,0.75,4786.35,36398.21,2021-12-28 23:59:00
2.83,2.23,2.53,0.8,4793.06,36488.63,2021-12-29 23:59:00
2.86,2.3,2.58,0.79,4778.73,36398.08,2021-12-30 23:59:00
2.87,2.25,2.56,0.79,4766.18,36338.3,2021-12-31 23:59:00
,,,,,,2022-01-01 23:59:00
,,,,,,2022-01-02 23:59:00
2.95,2.25,2.6,0.85,4796.56,36585.06,2022-01-03 23:59:00
2.93,2.21,2.57,0.89,4793.54,36799.65,2022-01-04 23:59:00
2.87,2.19,2.53,0.88,4700.58,36407.11,2022-01-05 23:59:00
2.77,2.15,2.46,0.85,4696.05,36236.47,2022-01-06 23:59:00
2.78,2.18,2.48,0.89,4677.03,36231.66,2022-01-07 23:59:00
,,,,,,2022-01-08 23:59:00
,,,,,,2022-01-09 23:59:00
2.77,2.19,2.48,0.86,4670.29,36068.87,2022-01-10 23:59:00
2.87,2.21,2.54,0.85,4713.07,36252.02,2022-01-11 23:59:00
2.82,2.14,2.48,0.82,4726.35,36290.32,2022-01-12 23:59:00
2.77,2.09,2.43,0.79,4659.03,36113.62,2022-01-13 23:59:00
2.79,2.09,2.44,0.79,4662.85,35911.81,2022-01-14 23:59:00
,,,,,,2022-01-15 23:59:00
,,,,,,2022-01-16 23:59:00
,,,,,,2022-01-17 23:59:00
2.8,2.12,2.46,0.81,4577.11,35368.47,2022-01-18 23:59:00
2.73,2.07,2.4,0.79,4532.76,35028.65,2022-01-19 23:59:00
2.74,1.92,2.33,0.75,4482.73,34715.39,2022-01-20 23:59:00
2.7,1.98,2.34,0.74,4397.94,34265.37,2022-01-21 23:59:00
,,,,,,2022-01-22 23:59:00
,,,,,,2022-01-23 23:59:00
2.74,2.02,2.38,0.76,4410.13,34364.5,2022-01-24 23:59:00
2.78,2.04,2.41,0.76,4356.45,34297.73,2022-01-25 23:59:00
2.75,2.01,2.38,0.72,4349.93,34168.09,2022-01-26 23:59:00
2.76,2.04,2.4,0.63,4326.51,34160.78,2022-01-27 23:59:00
2.8,2.08,2.44,0.63,4431.85,34725.47,2022-01-28 23:59:00
,,,,,,2022-01-29 23:59:00
,,,,,,2022-01-30 23:59:00
2.82,2.06,2.44,0.61,4515.55,35131.86,2022-01-31 23:59:00
2.8,2.06,2.43,0.63,4546.54,35405.24,2022-02-01 23:59:00
2.79,2.03,2.41,0.62,4589.38,35629.33,2022-02-02 23:59:00
2.76,2.0,2.38,0.63,4477.44,35111.16,2022-02-03 23:59:00
2.78,2.04,2.41,0.62,4500.53,35089.74,2022-02-04 23:59:00
,,,,,,2022-02-05 23:59:00
,,,,,,2022-02-06 23:59:00
2.75,2.05,2.4,0.62,4483.87,35091.13,2022-02-07 23:59:00
2.77,2.07,2.42,0.61,4521.54,35462.78,2022-02-08 23:59:00
2.78,2.06,2.42,0.58,4587.18,35768.06,2022-02-09 23:59:00
2.81,2.09,2.45,0.42,4504.08,35241.59,2022-02-10 23:59:00
2.82,2.04,2.43,0.42,4418.64,34738.06,2022-02-11 23:59:00
,,,,,,2022-02-12 23:59:00
,,,,,,2022-02-13 23:59:00
2.91,2.05,2.48,0.4,4401.67,34566.17,2022-02-14 23:59:00
2.89,2.07,2.48,0.47,4471.07,34988.84,2022-02-15 23:59:00
2.87,2.05,2.46,0.51,4475.01,34934.27,2022-02-16 23:59:00
2.87,1.99,2.43,0.48,4380.26,34312.03,2022-02-17 23:59:00
2.86,1.96,2.41,0.45,4348.87,34079.18,2022-02-18 23:59:00
,,,,,,2022-02-19 23:59:00
,,,,,,2022-02-20 23:59:00
,,,,,,2022-02-21 23:59:00
2.89,2.01,2.45,0.38,4304.76,33596.61,2022-02-22 23:59:00
3.01,2.05,2.53,0.41,4225.5,33131.76,2022-02-23 23:59:00
3.05,2.05,2.55,0.42,4288.7,33223.83,2022-02-24 23:59:00
3.02,2.06,2.54,0.42,4384.65,34058.75,2022-02-25 23:59:00
,,,,,,2022-02-26 23:59:00
,,,,,,2022-02-27 23:59:00
3.11,2.13,2.62,0.39,4373.94,33892.6,2022-02-28 23:59:00
3.14,2.1,2.62,0.41,4306.26,33294.95,2022-03-01 23:59:00
3.23,2.19,2.71,0.36,4386.54,33891.35,2022-03-02 23:59:00
3.17,2.21,2.69,0.33,4363.49,33794.66,2022-03-03 23:59:00
3.19,2.15,2.67,0.24,4328.87,33614.8,2022-03-04 23:59:00
,,,,,,2022-03-05 23:59:00
,,,,,,2022-03-06 23:59:00
3.29,2.25,2.77,0.23,4201.09,32817.38,2022-03-07 23:59:00
3.43,2.37,2.9,0.23,4170.7,32632.64,2022-03-08 23:59:00
3.33,2.35,2.84,0.26,4277.88,33286.25,2022-03-09 23:59:00
3.42,2.3,2.86,0.26,4259.52,33174.07,2022-03-10 23:59:00
3.52,2.36,2.94,0.25,4204.31,32944.19,2022-03-11 23:59:00
,,,,,,2022-03-12 23:59:00
,,,,,,2022-03-13 23:59:00
3.5,2.36,2.93,0.27,4173.11,32945.24,2022-03-14 23:59:00
3.42,2.26,2.84,0.3,4262.45,33544.34,2022-03-15 23:59:00
3.34,2.26,2.8,0.24,4357.86,34063.1,2022-03-16 23:59:00
3.51,2.31,2.91,0.26,4411.67,34480.76,2022-03-17 23:59:00
3.48,2.24,2.86,0.17,4463.12,34754.93,2022-03-18 23:59:00
,,,,,,2022-03-19 23:59:00
,,,,,,2022-03-20 23:59:00
3.52,2.28,2.9,0.18,4461.18,34552.99,2022-03-21 23:59:00
3.52,2.3,2.91,0.2,4511.61,34807.46,2022-03-22 23:59:00
3.57,2.31,2.94,0.19,4456.24,34358.5,2022-03-23 23:59:00
3.57,2.27,2.92,0.21,4520.16,34707.94,2022-03-24 23:59:00
3.59,2.31,2.95,0.18,4543.06,34861.24,2022-03-25 23:59:00
,,,,,,2022-03-26 23:59:00
,,,,,,2022-03-27 23:59:00
3.56,2.34,2.95,0.11,4575.52,34955.89,2022-03-28 23:59:00
3.4,2.32,2.86,0.06,4631.6,35294.19,2022-03-29 23:59:00
3.41,2.31,2.86,0.04,4602.45,35228.81,2022-03-30 23:59:00
3.34,2.34,2.84,0.04,4530.41,34678.35,2022-03-31 23:59:00
3.28,2.32,2.8,-0.05,4545.86,34818.27,2022-04-01 23:59:00
,,,,,,2022-04-02 23:59:00
,,,,,,2022-04-03 23:59:00
3.28,2.32,2.8,-0.01,4582.64,34921.88,2022-04-04 23:59:00
3.31,2.37,2.84,0.03,4525.12,34641.18,2022-04-05 23:59:00
3.28,2.38,2.83,0.11,4481.15,34496.51,2022-04-06 23:59:00
3.26,2.38,2.82,0.19,4500.21,34583.57,2022-04-07 23:59:00
3.33,2.41,2.87,0.19,4488.28,34721.12,2022-04-08 23:59:00
,,,,,,2022-04-09 23:59:00
,,,,,,2022-04-10 23:59:00
3.37,2.45,2.91,0.29,4412.53,34308.08,2022-04-11 23:59:00
3.31,2.41,2.86,0.33,4397.45,34220.36,2022-04-12 23:59:00
3.25,2.35,2.8,0.33,4446.59,34564.59,2022-04-13 23:59:00
3.33,2.45,2.89,0.36,4392.59,34451.23,2022-04-14 23:59:00
,,,,,,2022-04-15 23:59:00
,,,,,,2022-04-16 23:59:00
,,,,,,2022-04-17 23:59:00
3.36,2.48,2.92,0.39,4391.69,34411.69,2022-04-18 23:59:00
3.36,2.5,2.93,0.32,4462.21,34911.2,2022-04-19 23:59:00
3.36,2.48,2.92,0.25,4459.45,35160.79,2022-04-20 23:59:00
3.37,2.67,3.02,0.22,4393.66,34792.76,2022-04-21 23:59:00
3.37,2.59,2.98,0.18,4271.78,33811.4,2022-04-22 23:59:00
,,,,,,2022-04-23 23:59:00
,,,,,,2022-04-24 23:59:00
3.27,2.55,2.91,0.18,4296.12,34049.46,2022-04-25 23:59:00
3.25,2.45,2.85,0.23,4175.2,33240.18,2022-04-26 23:59:00
3.28,2.48,2.88,0.24,4183.96,33301.93,2022-04-27 23:59:00
3.39,2.55,2.97,0.22,4287.5,33916.39,2022-04-28 23:59:00
3.3,2.46,2.88,0.19,4131.93,32977.21,2022-04-29 23:59:00
,,,,,,2022-04-30 23:59:00
,,,,,,2022-05-01 23:59:00
3.21,2.41,2.81,0.26,4155.38,33061.5,2022-05-02 23:59:00
3.21,2.45,2.83,0.19,4175.48,33128.79,2022-05-03 23:59:00
3.24,2.48,2.86,0.27,4300.17,34061.06,2022-05-04 23:59:00
3.23,2.51,2.87,0.34,4146.87,32997.97,2022-05-05 23:59:00
3.22,2.5,2.86,0.4,4123.34,32899.37,2022-05-06 23:59:00
,,,,,,2022-05-07 23:59:00
,,,,,,2022-05-08 23:59:00
3.06,2.44,2.75,0.44,3991.24,32245.7,2022-05-09 23:59:00
2.92,2.38,2.65,0.37,4001.05,32160.74,2022-05-10 23:59:00
3.0,2.4,2.7,0.25,3935.18,31834.11,2022-05-11 23:59:00
2.89,2.29,2.59,0.28,3930.08,31730.3,2022-05-12 23:59:00
3.03,2.35,2.69,0.32,4023.89,32196.66,2022-05-13 23:59:00
,,,,,,2022-05-14 23:59:00
,,,,,,2022-05-15 23:59:00
3.04,2.32,2.68,0.3,4008.01,32223.42,2022-05-16 23:59:00
3.08,2.34,2.71,0.27,4088.85,32654.59,2022-05-17 23:59:00
3.05,2.39,2.72,0.21,3923.68,31490.07,2022-05-18 23:59:00
2.97,2.21,2.59,0.21,3900.79,31253.13,2022-05-19 23:59:00
2.88,2.22,2.55,0.18,3901.36,31261.9,2022-05-20 23:59:00
,,,,,,2022-05-21 23:59:00
,,,,,,2022-05-22 23:59:00
2.92,2.28,2.6,0.21,3973.75,31880.24,2022-05-23 23:59:00
2.87,2.23,2.55,0.26,3941.48,31928.62,2022-05-24 23:59:00
2.88,2.24,2.56,0.27,3978.73,32120.28,2022-05-25 23:59:00
2.96,2.28,2.62,0.29,4057.84,32637.19,2022-05-26 23:59:00
2.95,2.31,2.63,0.27,4158.24,33212.96,2022-05-27 23:59:00
,,,,,,2022-05-28 23:59:00
,,,,,,2022-05-29 23:59:00
,,,,,,2022-05-30 23:59:00
2.96,2.32,2.64,0.32,4132.15,32990.12,2022-05-31 23:59:00
2.96,2.34,2.65,0.28,4101.23,32813.23,2022-06-01 23:59:00
2.97,2.35,2.66,0.27,4176.82,33248.28,2022-06-02 23:59:00
3.04,2.44,2.74,0.3,4108.54,32899.7,2022-06-03 23:59:00
,,,,,,2022-06-04 23:59:00
,,,,,,2022-06-05 23:59:00
3.05,2.47,2.76,0.31,4121.43,32915.78,2022-06-06 23:59:00
3.03,2.43,2.73,0.23,4160.68,33180.14,2022-06-07 23:59:00
3.06,2.44,2.75,0.25,4115.77,32910.9,2022-06-08 23:59:00
3.08,2.42,2.75,0.21,4017.82,32272.79,2022-06-09 23:59:00
3.13,2.39,2.76,0.09,3900.86,31392.79,2022-06-10 23:59:00
,,,,,,2022-06-11 23:59:00
,,,,,,2022-06-12 23:59:00
3.11,2.37,2.74,0.03,3749.63,30516.74,2022-06-13 23:59:00
2.88,2.32,2.6,0.04,3735.48,30364.83,2022-06-14 23:59:00
3.0,2.4,2.7,0.13,3789.99,30668.53,2022-06-15 23:59:00
2.87,2.37,2.62,0.14,3666.77,29927.07,2022-06-16 23:59:00
2.8,2.36,2.58,0.08,3674.84,29888.78,2022-06-17 23:59:00
,,,,,,2022-06-18 23:59:00
,,,,,,2022-06-19 23:59:00
,,,,,,2022-06-20 23:59:00
2.84,2.38,2.61,0.1,3764.79,30530.25,2022-06-21 23:59:00
2.74,2.34,2.54,0.1,3759.89,30483.13,2022-06-22 23:59:00
2.69,2.31,2.5,0.08,3795.73,30677.36,2022-06-23 23:59:00
2.82,2.3,2.56,0.09,3911.74,31500.68,2022-06-24 23:59:00
,,,,,,2022-06-25 23:59:00
,,,,,,2022-06-26 23:59:00
2.79,2.31,2.55,0.12,3900.11,31438.26,2022-06-27 23:59:00
2.73,2.23,2.48,0.1,3821.55,30946.99,2022-06-28 23:59:00
2.59,2.13,2.36,0.04,3818.83,31029.31,2022-06-29 23:59:00
2.58,2.08,2.33,0.06,3785.38,30775.43,2022-06-30 23:59:00
2.6,2.08,2.34,0.04,3825.33,31097.26,2022-07-01 23:59:00
,,,,,,2022-07-02 23:59:00
,,,,,,2022-07-03 23:59:00
,,,,,,2022-07-04 23:59:00
2.51,2.09,2.3,0.0,3831.39,30967.82,2022-07-05 23:59:00
2.48,2.1,2.29,-0.04,3845.08,31037.68,2022-07-06 23:59:00
2.53,2.13,2.33,-0.02,3902.62,31384.55,2022-07-07 23:59:00
2.62,2.12,2.37,-0.03,3899.38,31338.15,2022-07-08 23:59:00
,,,,,,2022-07-09 23:59:00
,,,,,,2022-07-10 23:59:00
2.56,2.08,2.32,-0.08,3854.43,31173.84,2022-07-11 23:59:00
2.5,2.14,2.32,-0.07,3818.8,30981.33,2022-07-12 23:59:00
2.51,2.11,2.31,-0.22,3801.78,30772.79,2022-07-13 23:59:00
2.54,2.14,2.34,-0.19,3790.38,30630.17,2022-07-14 23:59:00
2.59,2.13,2.36,-0.2,3863.16,31288.26,2022-07-15 23:59:00
,,,,,,2022-07-16 23:59:00
,,,,,,2022-07-17 23:59:00
2.63,2.11,2.37,-0.19,3830.85,31072.61,2022-07-18 23:59:00
2.67,2.11,2.39,-0.22,3936.69,31827.05,2022-07-19 23:59:00
2.67,2.09,2.38,-0.21,3959.9,31874.84,2022-07-20 23:59:00
2.55,2.11,2.33,-0.19,3998.95,32036.9,2022-07-21 23:59:00
2.56,2.12,2.34,-0.21,3961.63,31899.29,2022-07-22 23:59:00
,,,,,,2022-07-23 23:59:00
,,,,,,2022-07-24 23:59:00
2.58,2.14,2.36,-0.19,3966.84,31990.04,2022-07-25 23:59:00
2.56,2.16,2.36,-0.21,3921.05,31761.54,2022-07-26 23:59:00
